आंकरी,अंकुर
बोट,अंगुली
द्राक्ष,अंगूर
अंजन,अंजन
आंधळेपण,अंधापन
काळोख,अंधेरा
दुकळ,अकाल
ऑक्टोबर,अक्टूबर
अक्षर,अक्षर
ऑगस्ट,अगस्त
नोंचे,अचार
बरें,अच्छा
चांग,अच्छी
हागवण,अतिसार
आलें,अदरक
शिक्षक,अध्यापक
आवनास,अनन्नास
मान्यताय,अनुमति
अंगेले,अपना
मोडणें,अपस्मार
एप्रिल,अप्रैल
दुख्ख,खेद
नटी,अभिनेत्री
अभ्रक,अभ्रक
पेर,अमरूद
दोळो,आँख
दोळ,आँख
आंगण,आँगन
दुकां,आँसू
हारसो,आईना
हल्लो,आक्रमण
आजी,आज
पीठ,आटा
आत्मो,आत्मा
ख़ुशी,आनंद
तुमी,आप
तुमकां,आपसे
पुरवण,आपूर्ति
आंबो,आम
आयात,आयात
आरत,आरती
विसव,आराम
खरवत,आरी
बटाट,आलू
स्वरू,आवाज
आवाज,आवाज
यो,आवो
आस्त,आशा
मळब,आसमान
भावार्थ,आस्था
इत्स,इच्छा
चींच,इमली
वाठार,इलाका
जळोव,ईंधन
जाळ,ईर्ष्या
नसाय,ईर्ष्या
प्राय,उम्र
तागेले,उसका
ताक्का,उसे
करें,ऊँट
ए,ए
ऐ,ऐ
औ,औ
कंद,कंद
खांद,कंधा
कांबळ,कंबल
तवशें,ककड़ी
पणस,कटहल
वागोणी,कनखजूरा
कप,कप
कापूस,कपास
कवडो,कपोत
पारवो,कबूतर
थडगें,कब्र
मसंड,कब्रिस्तान
कूरटू,कमर
भेंड,कमर
कूड,कमरा
खोमीस,कमीज़
पळी,करछुल
कडी,करी
करी,करो
कर्तव्य,कर्तव्य
फाई,कल
लिखणी,कलम
मनगट,कलाई
कलाकार,कलाकार
कळो,कली
बरेपण,कल्याण
कवी,कवि
खयी,कहाँ
काणी,कहानी
छे,का
कांटो,काँटा
कागद,कागज़
तोणी,काठी
कान,कान
कायदो,कानून
काम,काम
कारखानो,कारखाना
कारागीर,कारीगर
दफ्तर,कार्यालय
पुस्तक,किताब
किल्लो,किला
शेतकार,किसान
चिकोल,कीचड़
फुनेल,कीप
बांय,कुआँ
अळमें,कुकुरमुत्ता
सुणें,कुतिया
सुणें,कुत्ता
सुणो,कुत्ता
खोरें,कुदाल
कदेल,कुरसी
कुराड,कुल्हाड़ी
कोड,कुष्ठ
दंत,कृमि
केंद्र,केन्द्र
केळें,केला
कशी,कैसे
कोगूळ,कोकिला
कोगूळ,कोयल
कोळसो,कोयला
कावळो,कौआ
खीण,क्षण
क्षय,क्षय
भांडार,खजांची
तिजोरी,खज़ाना
खाजूर,खजूर
नळो,खपरैल
सोंसो,खरगोश
खोंकली,खाँसी
खाट,खाट
खत्ता,खाता
सारें,खाद
